bar,beat,note,chord
75,1,50,Db7
75,2,50,Db7
75,3,50,Db7
75,4,50,Db7
76,1,50,Db7
76,2,44,Db7
76,3,45,Db7
76,4,48,Db7
77,1,47,C-7
77,2,43,C-7
77,3,50,F-7
77,4,48,F-7
78,1,41,Bb-7
78,2,41,Bb-7
78,3,47,Eb7
78,4,50,Eb7
79,1,50,Ab6
79,2,47,Ab6
79,3,48,Ab6
79,4,50,Ab6
80,1,50,Ab6
80,2,50,Ab6
80,3,48,Ab6
80,4,48,Ab6
81,1,50,G-7
81,2,50,G-7
81,3,50,G-7
81,4,50,G-7
82,1,50,C7
82,2,50,C7
82,3,50,C7
82,4,37,C7
83,1,37,F-7
83,2,50,F-7
83,3,50,F-7
83,4,50,F-7
84,1,47,F-7
84,2,47,F-7
84,3,45,F-7
84,4,50,F-7
85,1,50,Cm7b5
85,2,50,Cm7b5
85,3,50,Cm7b5
85,4,42,Cm7b5
86,1,50,F7alt
86,2,49,F7alt
86,3,50,F7alt
86,4,50,F7alt
87,1,50,Bb-7
87,2,51,Bb-7
87,3,50,Bb-7
87,4,48,Bb-7
88,1,47,Eb7
88,2,50,Eb7
88,3,50,Eb7
88,4,50,Eb7
89,1,50,Ab6
89,2,50,Ab6
89,3,50,Ab6
89,4,50,Ab6
90,1,50,Ab6
90,2,50,Ab6
90,3,51,Ab6
90,4,51,Ab6
91,1,50,Db7
91,2,50,Db7
91,3,50,Db7
91,4,42,Db7
92,1,50,Db7
92,2,50,Db7
92,3,42,Db7
92,4,45,Db7
93,1,47,C-7
93,2,47,C-7
93,3,50,F-7
93,4,48,F-7
94,1,41,Bb-7
94,2,42,Bb-7
94,3,47,Eb7
94,4,50,Eb7
95,1,50,Ab6
95,2,43,Ab6
95,3,44,Ab6
95,4,45,Ab6
96,1,42,Bb-7
96,2,50,Bb-7
96,3,50,Eb7
96,4,48,Eb7
97,1,47,Ab6
97,2,48,Ab6
97,3,49,Ab6
97,4,50,Ab6
98,1,50,Ab6
98,2,50,Ab6
98,3,50,Ab6
98,4,50,Ab6
99,1,51,Db7
99,2,50,Db7
99,3,37,Db7
99,4,38,Db7
100,1,51,Db7
100,2,42,Db7
100,3,37,Db7
100,4,38,Db7
101,1,38,Ab6
101,2,43,Ab6
101,3,37,Ab6
101,4,42,Ab6
102,1,50,F-7
102,2,50,F-7
102,3,48,F-7
102,4,47,F-7
103,1,45,Bb-7
103,2,48,Bb-7
103,3,37,Bb-7
103,4,50,Bb-7
104,1,50,Eb7
104,2,48,Eb7
104,3,45,Eb7
104,4,40,Eb7
105,1,50,Ab6
105,2,45,Ab6
105,3,51,Ab6
105,4,45,Ab6
106,1,51,Ab6
106,2,42,Ab6
106,3,51,Ab6
106,4,45,Ab6
107,1,44,Db7
107,2,51,Db7
107,3,44,Db7
107,4,51,Db7
108,1,51,Db7
108,2,50,Db7
108,3,50,Db7
108,4,42,Db7
109,1,37,C-7
109,2,50,C-7
109,3,48,F-7
109,4,50,F-7
110,1,50,Bb-7
110,2,51,Bb-7
110,3,50,Eb7
110,4,48,Eb7
111,1,45,Ab6
111,2,47,Ab6
111,3,48,Ab6
111,4,50,Ab6
112,1,50,Ab6
112,2,50,Ab6
112,3,48,Ab6
112,4,47,Ab6
113,1,50,G-7
113,2,50,G-7
113,3,50,G-7
113,4,50,G-7
114,1,50,C7
114,2,50,C7
114,3,50,C7
114,4,47,C7
115,1,48,F-7
115,2,50,F-7
115,3,50,F-7
115,4,50,F-7
116,1,48,F-7
116,2,49,F-7
116,3,45,F-7
116,4,50,F-7
117,1,50,Cm7b5
117,2,50,Cm7b5
117,3,42,Cm7b5
117,4,50,Cm7b5
118,1,50,F7alt
118,2,50,F7alt
118,3,48,F7alt
118,4,37,F7alt
119,1,50,Bb-7
119,2,50,Bb-7
119,3,50,Bb-7
119,4,50,Bb-7
120,1,50,Eb7
120,2,50,Eb7
120,3,42,Eb7
120,4,42,Eb7
121,1,51,Ab6
121,2,45,Ab6
121,3,47,Ab6
121,4,50,Ab6
122,1,50,Ab6
122,2,50,Ab6
122,3,50,Ab6
122,4,50,Ab6
123,1,44,Db7
123,2,48,Db7
123,3,51,Db7
123,4,37,Db7
124,1,50,Db7
124,2,51,Db7
124,3,44,Db7
124,4,45,Db7
125,1,47,C-7
125,2,42,C-7
125,3,50,F-7
125,4,48,F-7
126,1,41,Bb-7
126,2,41,Bb-7
126,3,47,Eb7
126,4,44,Eb7
127,1,43,Ab6
127,2,43,Ab6
127,3,40,Ab6
127,4,40,Ab6
128,1,41,Bb-7
128,2,41,Bb-7
128,3,42,Eb7
128,4,50,Eb7
129,1,50,Ab6
129,2,47,Ab6
129,3,48,Ab6
129,4,50,Ab6
130,1,50,Ab6
130,2,50,Ab6
130,3,50,Ab6
130,4,50,Ab6
131,1,50,Db7
131,2,50,Db7
